lab,strain.1,strain.2,Diff,n.1,n.2,s.pooled,t-value common,pval common,treatment,sex,Diff Multi,Std. Error REML,df REML,t-value REML,pval REML,measure.name,t-value GXL-TAUGAX,pval REML GXL-TAUGAX
ICS,Ttll4,baseline,0.24591674368284155,7,368,0.37982375303169835,1.6969274469823952,0.09054459489757825,Control,Female,0.09109163092989231,0.14846628655731559,12,0.6135509484486653,0.5509653811067478,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Setmar,Elk4,-0.0016893632857142293,7,8,0.3805491557843068,-0.008577498933616933,0.9932864633942171,Control,Female,0.013970800615238504,0.17195338552458708,12,0.08124760424237686,0.936584427752682,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Slc38a10,Elk4,-0.13760355171428573,7,8,0.43553360301183613,-0.6104588014077328,0.5520812586906765,Control,Female,0.1141180514111302,0.1700690245230509,12,0.6710102073623807,0.5149225704190007,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Tnfaip1,Elk4,-0.1546081294999999,8,8,0.5262462437298613,-0.5875885342351825,0.5661658524890995,Control,Female,0.031885151201479625,0.17387477361549575,12,0.1833799724851979,0.8575618866053657,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Ttll4,Elk4,0.2102211525714286,7,8,0.3743122569534899,1.085152432793305,0.29756811845268855,Control,Female,0.06490086121182119,0.1714045173094716,12,0.37864148641218365,0.7115680520808567,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Slc38a10,Setmar,-0.1359141884285715,7,7,0.37296381411850443,-0.6817609481808422,0.5083351116170608,Control,Female,0.10014725079589169,0.17105148453735616,12,0.5854801615242363,0.5690720908061171,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Tnfaip1,Setmar,-0.15291876621428568,8,7,0.48677524861833743,-0.6069888061793286,0.5543121835633431,Control,Female,0.01791435058624112,0.17487813962452678,12,0.1024390505566004,0.9201001122774715,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Ttll4,Setmar,0.21191051585714282,7,7,0.2922165267817595,1.356693537706931,0.19985277052683767,Control,Female,0.050930060596582685,0.17238743747821703,12,0.2954395131200801,0.7727078131691733,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Tnfaip1,Slc38a10,-0.01700457778571418,8,7,0.5308691006752675,-0.06189089872669079,0.9515911535373275,Control,Female,-0.08223290020965057,0.1730763553240591,12,-0.4751249820097147,0.6432287776038554,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
ICS,Ttll4,Slc38a10,0.3478247042857143,7,7,0.3660623984023463,1.7776216292265365,0.10079513507742549,Control,Female,-0.04921719019930901,0.1704868971998591,12,-0.28868605744881654,0.7777478361568532,ESLIM_007_001_007.Open.field.Periphery.resting.time,NA,NA
